identifiant,ville,CP,revenu,remboursement,duree,type,taux
0,OUARGLA,30100,3669.0,1130.05,240,immobilier,1.168
1,ALGER,16009,5310.0,240.0,64,automobile,3.701
1,ALGER,16009,5310.0,1247.85,300,immobilier,1.173
2,ORAN,25010,1873.0,552.54,240,immobilier,0.972
3,ORAN,25010,1684.0,586.03,180,immobilier,1.014
4,ORAN,25012,1476.0,423.61,240,immobilier,1.209
5,ALGER,16016,2476.0,836.89,240,immobilier,1.116
6,CONSTANTINE,31008,1867.0,711.33,240,immobilier,1.196
7,SETIF,13000,5486.0,2956.95,300,immobilier,1.184
8,TELEMCEN,33200,3578.0,751.38,180,immobilier,1.316
9,ORAN,25012,1386.0,612.61,180,immobilier,1.284
10,ALGER,16011,2293.0,378.34,240,immobilier,1.214
11,TELEMCEN,33200,3346.0,1013.84,240,immobilier,1.199
12,ORAN,30006,1597.0,428.0,120,immobilier,1.085
13,ORAN,30016,2556.0,393.62,300,immobilier,1.22
14,OUARGLA,31400,2413.0,1334.39,300,immobilier,1.154
15,ALGER,16003,4109.0,1220.37,240,immobilier,1.272
16,ALGER,16001,6118.0,1505.03,240,immobilier,1.211
17,ALGER,16011,4926.0,1507.36,240,immobilier,1.249
18,SETIF,13000,5717.0,1726.53,300,immobilier,1.105
19,ORAN,16015,1575.0,346.5,240,immobilier,1.2
20,CONSTANTINE,25001,3318.0,1237.61,240,immobilier,1.148
21,ORAN,25012,1572.0,407.15,300,immobilier,1.122
22,SETIF,30000,5838.0,3018.25,240,immobilier,1.229
23,ALGER,16011,4469.0,1018.93,240,immobilier,1.229
24,ORAN,30016,1616.0,602.77,240,immobilier,1.22
25,ALGER,16009,5533.0,1394.32,300,immobilier,1.165
26,ALGER,16017,4265.0,1100.37,240,immobilier,1.198
27,ALGER,16001,1879.0,509.21,180,immobilier,1.064
28,ORAN,30013,1394.0,535.3,300,immobilier,1.206
29,ORAN,25010,2394.0,579.35,240,immobilier,1.019
30,OUARGLA,31000,1785.0,514.08,240,immobilier,1.041
31,TELEMCEN,30300,3398.0,550.48,300,immobilier,1.093
32,TELEMCEN,33200,3419.0,1196.65,180,immobilier,1.222
33,SETIF,13000,4098.0,1032.7,180,immobilier,1.199
34,CONSTANTINE,25001,2688.0,768.77,240,immobilier,1.095
35,ALGER,16116,2172.0,436.57,300,immobilier,1.004
36,ALGER,16012,5525.0,1922.7,240,immobilier,1.26
37,ALGER,16004,2760.0,455.4,300,immobilier,1.237
38,CONSTANTINE,25003,3952.0,1098.66,300,immobilier,1.16
39,ORAN,25012,1619.0,425.8,240,immobilier,1.077
40,OUARGLA,31400,3837.0,621.59,240,immobilier,1.205
41,ORAN,30002,1672.0,453.11,240,immobilier,1.265
42,CONSTANTINE,25002,2748.0,1393.24,180,immobilier,1.209
43,ORAN,30011,1347.0,336.75,180,immobilier,1.189
44,ORAN,30006,1311.0,364.46,120,immobilier,1.13
45,ORAN,30016,2254.0,865.54,240,immobilier,1.159
46,ORAN,30004,1484.0,243.38,300,immobilier,1.127
47,ORAN,30001,1618.0,432.01,240,immobilier,1.296
48,ORAN,30011,1994.0,1036.88,240,immobilier,1.088
49,OUARGLA,30100,2931.0,1442.05,240,immobilier,1.2
50,ALGER,16012,5900.0,1876.2,120,immobilier,1.026
51,ORAN,30016,1374.0,589.45,120,immobilier,1.18
52,ORAN,30011,2660.0,973.56,300,immobilier,1.119
53,CONSTANTINE,25006,3706.0,1408.28,240,immobilier,1.161
54,SETIF,30000,3501.0,749.21,180,immobilier,1.107
55,OUARGLA,31400,3884.0,881.67,180,immobilier,1.104
56,OUARGLA,31500,2185.0,642.39,240,immobilier,1.284
57,CONSTANTINE,25002,3794.0,948.5,240,immobilier,1.127
58,ALGER,16012,2415.0,664.12,120,immobilier,1.178
59,SETIF,30000,3554.0,696.58,180,immobilier,1.074
60,ORAN,25012,1201.0,688.17,240,immobilier,1.113
61,CONSTANTINE,25009,4771.0,1140.27,300,immobilier,1.212
62,CONSTANTINE,25006,3217.0,556.54,180,immobilier,1.166
63,SETIF,30000,4114.0,1283.57,300,immobilier,1.099
63,SETIF,30000,4114.0,302.9,24,automobile,3.092
64,CONSTANTINE,25004,4326.0,1358.36,240,immobilier,1.172
64,CONSTANTINE,25004,4326.0,236.1,46,automobile,3.124
65,OUARGLA,30100,3870.0,1091.34,180,immobilier,1.194
66,ORAN,30011,1398.0,665.45,300,immobilier,1.215
67,ALGER,16014,5598.0,2395.94,240,immobilier,1.136
68,ORAN,30001,1935.0,518.58,120,immobilier,1.248
69,OUARGLA,31000,2278.0,872.47,240,immobilier,1.26
70,OUARGLA,30100,2794.0,508.51,180,immobilier,1.132
71,ORAN,30013,1858.0,687.46,240,immobilier,1.037
72,ALGER,16012,5981.0,2230.91,240,immobilier,1.15
73,ORAN,30014,2787.0,457.07,240,immobilier,1.171
74,ORAN,30005,2846.0,646.04,300,immobilier,1.153
75,ALGER,16018,3133.0,629.73,240,immobilier,1.202
76,TELEMCEN,33200,3386.0,876.97,120,immobilier,1.023
77,CONSTANTINE,25007,4261.0,1146.21,240,immobilier,1.187
78,ORAN,30011,2818.0,1048.3,240,immobilier,1.11
79,OUARGLA,31300,2522.0,448.92,240,immobilier,1.271
80,ALGER,16019,6783.0,2197.69,180,immobilier,1.215
81,TELEMCEN,33100,2930.0,961.04,240,immobilier,1.166
82,TELEMCEN,33000,3134.0,1131.37,240,immobilier,1.237
83,OUARGLA,31000,2207.0,412.71,180,immobilier,1.217
83,OUARGLA,31000,2207.0,253.3,60,automobile,2.975
84,ORAN,30009,1738.0,531.83,240,immobilier,1.17
85,ALGER,16005,6341.0,2980.27,240,immobilier,1.074
86,ORAN,25010,1320.0,234.96,180,immobilier,1.157
87,TELEMCEN,33800,2995.0,658.9,300,immobilier,1.257
88,CONSTANTINE,25005,2938.0,772.69,240,immobilier,1.131
89,CONSTANTINE,25007,4217.0,1484.38,240,immobilier,1.162
90,ALGER,16015,2700.0,434.7,240,immobilier,1.174
91,ALGER,16014,4091.0,1321.39,180,immobilier,1.039
92,ORAN,30004,1536.0,271.87,240,immobilier,1.121
93,ORAN,30008,1793.0,566.59,300,immobilier,1.211
94,ALGER,16018,3802.0,1216.64,180,immobilier,1.126
95,ALGER,16016,6069.0,977.11,240,immobilier,1.174
95,ALGER,16016,6069.0,341.4,24,automobile,3.644
96,CONSTANTINE,25005,2990.0,547.17,300,immobilier,1.121
97,ORAN,30014,1560.0,240.24,300,immobilier,1.185
98,OUARGLA,31400,2021.0,650.76,240,immobilier,1.367
99,ORAN,16015,2435.0,662.32,120,immobilier,1.099
100,TELEMCEN,33100,3636.0,1148.98,240,immobilier,1.187
101,CONSTANTINE,31008,4737.0,214.8,47,automobile,3.487
101,CONSTANTINE,31008,4737.0,810.03,300,immobilier,1.099
102,CONSTANTINE,25002,1926.0,951.44,240,immobilier,1.245
103,ORAN,30006,2027.0,346.62,240,immobilier,1.039
104,SETIF,13000,5987.0,916.01,240,immobilier,1.19
105,OUARGLA,30100,2338.0,353.04,300,immobilier,1.258
106,ORAN,25012,1807.0,746.29,120,immobilier,1.193
107,ORAN,30016,2057.0,384.66,240,immobilier,1.187
108,SETIF,30000,2690.0,919.98,240,immobilier,1.147
109,ORAN,30006,1328.0,446.21,240,immobilier,1.124
110,ALGER,16007,1904.0,550.26,240,immobilier,1.098
111,ALGER,16003,3448.0,555.13,180,immobilier,1.252
112,ALGER,16116,5789.0,1730.91,120,immobilier,1.124
113,ORAN,30006,2314.0,409.58,240,immobilier,1.138
113,ORAN,30006,2314.0,253.2,49,automobile,2.954
114,ALGER,16013,2118.0,442.66,300,immobilier,1.234
115,CONSTANTINE,31008,4169.0,1100.62,240,immobilier,1.221
116,ORAN,30003,1422.0,403.85,180,immobilier,0.999
117,SETIF,30000,2433.0,800.46,240,immobilier,1.197
118,ORAN,30009,2688.0,642.43,300,immobilier,1.197
119,ALGER,16019,6274.0,1631.24,180,immobilier,1.159
120,ALGER,16009,4527.0,842.02,240,immobilier,1.319
121,ORAN,30014,2962.0,476.88,300,immobilier,1.064
122,ALGER,16001,6536.0,2457.54,120,immobilier,1.038
123,ORAN,30013,1291.0,224.63,180,immobilier,1.1
124,SETIF,13000,3493.0,544.91,240,immobilier,1.085
124,SETIF,13000,3493.0,309.9,56,automobile,3.012
125,ALGER,16012,5872.0,2043.46,240,immobilier,1.122
126,ORAN,30003,2668.0,1016.51,120,immobilier,1.115
127,CONSTANTINE,31008,3208.0,1353.78,300,immobilier,1.134
128,ALGER,16009,3531.0,840.38,240,immobilier,1.231
129,ALGER,16012,6807.0,1899.15,180,immobilier,1.271
130,ORAN,30007,2631.0,1473.36,240,immobilier,1.086
131,TELEMCEN,33800,3647.0,882.57,300,immobilier,1.153
132,ORAN,16015,1663.0,463.98,180,immobilier,1.171
133,ALGER,16011,3099.0,291.2,78,automobile,3.508
133,ALGER,16011,3099.0,963.79,180,immobilier,1.08
134,ALGER,16003,2870.0,1021.72,180,immobilier,1.104
135,ORAN,30013,1200.0,318.0,180,immobilier,1.314
136,ORAN,30001,2161.0,706.65,300,immobilier,1.18
137,ALGER,16003,5925.0,1374.6,240,immobilier,0.975
138,ALGER,16015,5344.0,1138.27,240,immobilier,1.315
139,TELEMCEN,30300,2239.0,841.86,180,immobilier,1.248
140,ORAN,25010,1407.0,422.1,180,immobilier,1.184
141,SETIF,13000,5332.0,1892.86,240,immobilier,1.121
142,OUARGLA,31300,2152.0,682.18,180,immobilier,1.2
143,CONSTANTINE,25003,3473.0,965.49,240,immobilier,1.107
144,ORAN,25010,2240.0,454.72,120,immobilier,1.11
144,ORAN,25010,2240.0,316.6,81,automobile,3.267
145,ALGER,16017,5978.0,2193.93,300,immobilier,1.081
146,ORAN,30009,2946.0,459.58,300,immobilier,1.215
147,ORAN,16015,1288.0,199.64,240,immobilier,1.123
147,ORAN,16015,1288.0,269.8,30,automobile,3.314
148,OUARGLA,31000,1872.0,250.5,80,automobile,3.519
148,OUARGLA,31000,1872.0,301.39,180,immobilier,0.961
149,SETIF,30000,2590.0,805.49,180,immobilier,1.186
150,ORAN,16015,2675.0,706.2,180,immobilier,1.29
151,TELEMCEN,33000,3662.0,790.99,240,immobilier,1.121
152,ORAN,30002,2381.0,397.63,240,immobilier,1.222
153,ALGER,16009,2302.0,554.78,240,immobilier,1.195
154,ALGER,16014,6040.0,1407.32,240,immobilier,1.219
155,CONSTANTINE,25001,3831.0,1344.68,180,immobilier,1.097
156,TELEMCEN,33200,2564.0,1151.24,240,immobilier,1.191
157,ALGER,16012,5194.0,1225.78,240,immobilier,1.22
158,CONSTANTINE,25003,3536.0,887.54,240,immobilier,1.115
159,ALGER,16010,3238.0,618.46,240,immobilier,1.039
159,ALGER,16010,3238.0,315.8,55,automobile,2.995
160,ORAN,30014,1768.0,401.34,300,immobilier,1.164
161,ALGER,16011,5681.0,1130.52,180,immobilier,0.986
162,ORAN,30014,1378.0,497.46,240,immobilier,1.09
163,ALGER,16007,5798.0,997.26,180,immobilier,1.11
164,ALGER,16015,3089.0,781.52,240,immobilier,1.133
165,ORAN,30006,2668.0,811.07,240,immobilier,1.055
166,OUARGLA,31400,3920.0,913.36,240,immobilier,1.119
167,ORAN,30014,2856.0,1011.02,240,immobilier,1.153
168,ALGER,16003,6366.0,2807.41,240,immobilier,1.176
169,ORAN,30011,2210.0,663.0,240,immobilier,1.173
170,ALGER,16019,2384.0,1311.2,240,immobilier,1.051
171,ALGER,16014,3679.0,853.53,180,immobilier,1.18
172,ORAN,30009,2799.0,1072.02,240,immobilier,1.171
173,ALGER,16006,6784.0,3744.77,180,immobilier,1.248
174,ORAN,30009,1533.0,850.82,180,immobilier,1.048
175,SETIF,13000,4532.0,693.4,240,immobilier,1.182
176,ALGER,16008,4605.0,1132.83,240,immobilier,1.256
177,CONSTANTINE,25005,2003.0,324.49,240,immobilier,1.148
178,ORAN,30014,1868.0,480.08,180,immobilier,1.149
179,ALGER,16013,1979.0,569.95,240,immobilier,1.204
180,ORAN,30008,1441.0,266.58,240,immobilier,1.15
181,ALGER,16002,6439.0,1023.8,300,immobilier,1.13
182,ALGER,16019,4068.0,1505.16,240,immobilier,1.08
183,ALGER,16001,2330.0,871.42,240,immobilier,1.137
184,SETIF,19000,4253.0,986.7,240,immobilier,1.105
185,ALGER,16009,3789.0,1015.45,240,immobilier,1.05
186,ORAN,30003,1432.0,498.34,180,immobilier,1.171
187,ORAN,16015,2804.0,748.67,180,immobilier,1.276
188,ALGER,16014,3373.0,930.95,180,immobilier,1.178
189,OUARGLA,31500,1529.0,461.76,300,immobilier,1.175
190,ALGER,16005,2576.0,984.03,240,immobilier,1.029
191,OUARGLA,31300,1587.0,485.62,240,immobilier,1.212
192,ORAN,30009,2176.0,398.21,240,immobilier,1.336
193,ALGER,16003,6490.0,1765.28,240,immobilier,1.107
194,SETIF,13000,3077.0,716.94,300,immobilier,1.108
195,CONSTANTINE,25006,2468.0,488.66,240,immobilier,1.043
195,CONSTANTINE,25006,2468.0,337.9,38,automobile,3.472
196,ORAN,25012,1735.0,270.66,240,immobilier,1.195
197,ORAN,30009,1366.0,394.77,240,immobilier,1.102
198,ALGER,16016,1851.0,301.71,240,immobilier,1.193
199,ORAN,30002,2840.0,488.48,120,immobilier,1.147
200,ALGER,16002,3197.0,869.58,180,immobilier,1.258
201,ALGER,16019,5185.0,1301.44,240,immobilier,0.919
202,ALGER,16015,3434.0,638.72,240,immobilier,1.151
203,TELEMCEN,33200,3691.0,930.13,300,immobilier,1.097
204,OUARGLA,30100,3780.0,1425.06,180,immobilier,1.251
205,TELEMCEN,33100,2835.0,1567.76,180,immobilier,1.085
206,CONSTANTINE,25005,3798.0,1769.87,240,immobilier,1.109
207,CONSTANTINE,25001,1881.0,707.26,240,immobilier,1.27
208,ORAN,30011,2547.0,962.77,240,immobilier,1.157
209,SETIF,19000,3158.0,1054.77,240,immobilier,1.191
210,ALGER,16016,5846.0,3104.23,180,immobilier,1.141
211,OUARGLA,31400,3724.0,215.0,43,automobile,3.374
211,OUARGLA,31400,3724.0,573.5,240,immobilier,1.151
212,ALGER,16008,4749.0,1766.63,300,immobilier,1.077
213,SETIF,30000,2900.0,1392.0,180,immobilier,1.041
214,SETIF,19000,4928.0,744.13,120,immobilier,1.052
215,ORAN,30006,1266.0,238.01,240,immobilier,1.142
216,OUARGLA,30100,2645.0,759.11,240,immobilier,1.195
217,ALGER,16001,2064.0,825.6,180,immobilier,1.067
218,OUARGLA,31400,3993.0,1153.98,240,immobilier,1.081
219,ALGER,16017,6257.0,1820.79,300,immobilier,1.095
220,ORAN,30001,2560.0,896.0,300,immobilier,1.102
221,ALGER,16017,4477.0,1356.53,240,immobilier,1.132
222,OUARGLA,31500,3878.0,907.45,180,immobilier,1.149
223,ALGER,16009,2127.0,672.13,240,immobilier,1.249
224,ALGER,16008,5118.0,1248.79,300,immobilier,1.206
224,ALGER,16008,5118.0,238.2,25,automobile,3.423
225,TELEMCEN,33100,2356.0,876.43,180,immobilier,1.172
226,ALGER,16002,5098.0,2910.96,240,immobilier,1.14
227,ALGER,16015,2348.0,434.38,300,immobilier,1.157
